order_id,customer_id,order_amount,customer_email,payment_method,country_code,order_timestamp
ORD-000001,CUST-2824,22.26,user_2254@example.com,DEBIT_CARD,CA,2026-08-01T15:04:49
ORD-000002,CUST-2679,341.58,user_4468@example.com,CREDIT_CARD,FR,2026-08-02T01:21:42
ORD-000003,CUST-1520,24.6,user_1792@example.com,DEBIT_CARD,FR,2026-08-02T07:55:07
ORD-000004,CUST-1434,285.01,user_4465@example.com,APPLE_PAY,CA,2026-08-02T02:21:18
ORD-000005,CUST-5557,406.62,user_54@example.com,DEBIT_CARD,DE,2026-08-01T22:23:17
ORD-000006,CUST-5552,86.18,user_2758@example.com,CREDIT_CARD,US,2026-08-01T23:49:57
ORD-000007,CUST-2584,185.9,user_2818@example.com,PAYPAL,US,2026-08-02T02:43:37
ORD-000008,CUST-9785,71.16,user_3101@example.com,CREDIT_CARD,FR,2026-08-01T20:40:27
ORD-000009,CUST-6925,292.9,user_570@example.com,CREDIT_CARD,CA,2026-08-01T20:32:10
ORD-000010,CUST-2307,429.11,user_828@example.com,APPLE_PAY,UK,2026-08-02T02:30:29
ORD-000011,CUST-6977,89.7,user_2911@example.com,DEBIT_CARD,UK,2026-08-02T09:35:39
ORD-000012,CUST-2169,308.47,user_1402@example.com,DEBIT_CARD,CA,2026-08-02T02:49:49
ORD-000013,CUST-7216,142.27,user_4563@example.com,DEBIT_CARD,UK,2026-08-01T12:02:11
ORD-000014,CUST-4752,412.68,user_2585@example.com,APPLE_PAY,UK,2026-08-01T12:24:35
ORD-000015,CUST-4456,457.44,user_4647@example.com,PAYPAL,CA,2026-08-02T09:51:49
ORD-000016,CUST-9179,203.86,user_3759@example.com,DEBIT_CARD,UK,2026-08-01T15:05:01
ORD-000017,CUST-5040,375.04,user_4416@example.com,PAYPAL,FR,2026-08-02T01:35:55
ORD-000018,CUST-7543,187.38,user_1134@example.com,APPLE_PAY,US,2026-08-01T11:42:55
ORD-000019,CUST-2796,84.89,user_1311@example.com,APPLE_PAY,FR,2026-08-01T12:18:46
